,xnew,ynew
76,76048.97,220.77381085903644
77,77048.97,217.71492735151668
78,78048.97,220.65785285575993
79,79048.97,224.59877581242287
80,80048.97,228.38322665569726
81,81048.97,232.79500499168054
82,82048.97,238.4522429284526
83,83048.97,238.37045960698688
84,84048.97,228.82438067349926
85,85048.97,215.17630876494022
86,86048.97,216.44040999138673
87,87048.97,213.0185887096774
88,88048.97,208.21225983606558
89,89048.97,214.85160409836067
90,90048.97,221.49094836065575
91,91048.97,226.9209383408072
92,92048.97,229.1343714561856
93,93048.97,230.32638176546394
94,94048.97,231.51839207474228
95,95048.97,231.3276903202329
96,96048.97,230.19959716157206
97,97048.97,229.0715040029112
98,98048.97,227.94341084425037
99,99048.97,226.81531768558952
100,100048.97,226.3059210526316
101,101048.97,231.54892214912283
102,102048.97,235.87451282051282
103,103048.97,230.74630769230768
104,104048.97,231.5373979015335
105,105048.97,235.24408690987124
106,106048.97,231.8241749871333
107,107048.97,235.73565208440556
108,108048.97,242.9696480836237
109,109048.97,248.29983767413688
110,110048.97,251.58743197278912
111,111048.97,254.25992954324587
112,112048.97,257.2963657142857
113,113048.97,264.1535085714286
114,114048.97,262.263845323741
115,115048.97,273.62502707930366
116,116048.97,266.77094793926244
117,117048.97,264.3291809447558
118,118048.97,268.9500745272525
119,119048.97,273.1721935483871
120,120048.97,269.2863394366197
121,121048.97,276.27154015748033
122,122048.97,273.73727581009797
123,123048.97,275.68315564738293
124,124048.97,270.4786797900262
125,125048.97,273.64108904109594
126,126048.97,275.18225848849943
127,127048.97,262.5255975609756
128,128048.97,275.44633409610987
129,129048.97,277.1180535714285
130,130048.97,257.1283239171375
131,131048.97,248.3398744507219
132,132048.97,227.33817015706805
133,133048.97,223.8167902946274
134,134048.97,209.32507327586208
135,135048.97,204.4868885586924
136,136048.97,201.18460937499998
137,137048.97,197.96677742946707
138,138048.97,194.1242865329513
139,139048.97,191.67186880733945
140,140048.97,196.2669477379095
141,141048.97,196.2553442622951
142,142048.97,190.99579234972677
143,143048.97,192.15228593040848
144,144048.97,194.11900302571863
145,145048.97,196.08572012102874
146,146048.97,197.9306854094579
147,147048.97,199.68962427912342
148,148048.97,201.44856314878893
149,149048.97,201.65281172839505
150,150048.97,189.11787549933425
151,151048.97,196.90748934753663
152,152048.97,198.6041701014066
153,153048.97,194.80960026169447
154,154048.97,191.01503042198232
155,155048.97,187.2061256830601
156,156048.97,188.10930808215525
157,157048.97,192.59050306748466
158,158048.97,197.0716980528141
159,159048.97,201.5528930381435
160,160048.97,196.48314919354837
161,161048.97,193.6605685483871
162,162048.97,190.8623770491803
163,163048.97,187.02047989949747
164,164048.97,188.13524426450743
165,165048.97,196.82301895043733
166,166048.97,197.26033673469388
167,167048.97,197.69765451895046
168,168048.97,197.76682676483327
169,169048.97,197.72351797314855
170,170048.97,197.28211457772994
171,171048.97,196.36764443249058
172,172048.97,192.8527894736842
173,173048.97,189.63884022824536
174,174048.97,195.20851046025106
175,175048.97,204.41353138075314
176,176048.97,209.6292607746863
177,177048.97,212.62980632842334
178,178048.97,216.70467788461536
179,179048.97,201.61107462686564
180,180048.97,199.4997392218717
181,181048.97,201.3479216380182
182,182048.97,203.2184979777553
183,183048.97,205.89779499810535
184,184048.97,208.6639943160288
185,185048.97,213.4026749502982
186,186048.97,223.6412435387674
