,xnew,ynew
163,16348.97,207.68820320855613
164,16448.97,205.47574999999998
165,16548.97,202.97574999999998
166,16648.97,201.91624637681159
167,16748.97,200.9017536231884
168,16848.97,198.4121706161137
169,16948.97,195.75814218009475
170,17048.97,194.77402074688794
171,17148.97,194.23460165975104
172,17248.97,193.4829053030303
173,17348.97,192.38442045454545
174,17448.97,191.2859356060606
175,17548.97,190.02671052631578
176,17648.97,188.71092105263156
177,17748.97,188.5
178,17848.97,188.5
179,17948.97,188.7087985074627
180,18048.97,189.16159649122804
181,18148.97,188.51832163742688
182,18248.97,187.87504678362572
183,18348.97,187.23177192982456
184,18448.97,187.3998125
185,18548.97,188.0248125
186,18648.97,188.62221602787457
187,18748.97,188.90096167247387
188,18848.97,189.17970731707317
189,18948.97,190.9203250000001
190,19048.97,188.32626291079814
191,19148.97,188.42015962441315
192,19248.97,188.51405633802818
193,19348.97,188.6079530516432
194,19448.97,188.7012160493827
195,19548.97,188.76294444444446
196,19648.97,189.00068619246863
197,19748.97,189.50277824267783
198,19848.97,189.99191666666667
199,19948.97,189.15858333333333
200,20048.97,188.32524999999998
201,20148.97,188.06774444444443
202,20248.97,188.17885555555554
203,20348.97,193.77316721311473
204,20448.97,191.41251147540981
205,20548.97,189.0518557377049
206,20648.97,187.62815853658537
207,20748.97,187.26230487804878
208,20848.97,186.8985247148289
209,20948.97,186.74643346007605
210,21048.97,186.5943422053232
211,21148.97,186.2221707317073
212,21248.97,185.49046341463412
213,21348.97,184.75875609756096
214,21448.97,185.215032
215,21548.97,185.775032
216,21648.97,186.05161959654177
217,21748.97,185.93634582132563
218,21848.97,185.8210720461095
219,21948.97,185.70579827089335
220,22048.97,184.93316149068323
221,22148.97,184.60080788177342
222,22248.97,185.1919408866995
223,22348.97,185.78307389162563
224,22448.97,186.37420689655173
225,22548.97,186.96533990147785
226,22648.97,187.55647290640394
227,22748.97,188.14760591133006
228,22848.97,188.73873891625615
229,22948.97,189.2166491948216
230,23048.97,189.29243069150615
231,23148.97,189.3682121881907
232,23248.97,189.44399368487527
233,23348.97,189.51977518155982
234,23448.97,189.59555667824438
235,23548.97,189.67133817492893
236,23648.97,189.74711967161352
237,23748.97,189.82290116829807
238,23848.97,189.89868266498263
239,23948.97,189.97446416166719
240,24048.97,190.05024565835174
241,24148.97,190.1260271550363
242,24248.97,190.20180865172085
243,24348.97,190.2775901484054
244,24448.97,190.35337164509
245,24548.97,190.42915314177455
246,24648.97,190.5049346384591
247,24748.97,190.58071613514366
248,24848.97,190.65649763182822
249,24948.97,190.73227912851277
250,25048.97,190.80806062519733
251,25148.97,190.8838421218819
252,25248.97,190.95962361856647
253,25348.97,191.03540511525102
254,25448.97,191.11118661193558
255,25548.97,191.18696810862014
256,25648.97,191.2627496053047
257,25748.97,191.33853110198925
